,자치구,대여소명,대여일자/월,대여건수
9305,강남구,2301. 현대고등학교 건너편,202106,3144
9306,강남구,2302. 교보타워 버스정류장(신논현역 3번출구 후면),202106,1192
9307,강남구,2303. 논현역 7번출구,202106,1358
9308,강남구,2304. 신영 ROYAL PALACE 앞,202106,155
9309,강남구,2305. MCM 본사 직영점 앞,202106,357
9310,강남구,2306. 압구정역 2번 출구 옆,202106,1287
9311,강남구,2307. 압구정 한양 3차 아파트,202106,260
9312,강남구,2308. 압구정파출소 앞,202106,515
9313,강남구,2309. 청담역(우리들병원 앞),202106,392
9314,강남구,2310. 청담동 맥도날드 옆(위치),202106,478
9315,강남구,2311. 학동로 래미안 아파트 앞,202106,312
9316,강남구,2312. 청담역 13번 출구 앞,202106,485
9317,강남구,2313. 금원빌딩 앞,202106,1004
9318,강남구,2314. 청담나들목입구,202106,759
9319,강남구,2315. 봉은사역 5번출구 옆,202106,576
9320,강남구,2316. 삼성역 8번출구,202106,1363
9321,강남구,2317. 삼성도로공원,202106,1110
9322,강남구,2318. 삼성중앙역4번출구(문화센터더 리빌),202106,406
9323,강남구,2319. 포스코사거리 서측(수협 삼성동 지점),202106,703
9324,강남구,2320. 도곡역 대치지구대 방향,202106,609
9325,강남구,2321. 학여울역 사거리,202106,693
9326,강남구,2322. 삼성역 3번 출구,202106,817
9327,강남구,2323. 주식회사 오뚜기 정문 앞,202106,541
9328,강남구,2324. 천주교 대치 2동 교회 옆,202106,1180
9329,강남구,2325. 대치동 버거킹대치점,202106,843
9330,강남구,2326. 대치동 삼성로,202106,454
9331,강남구,2327. 뱅뱅사거리 랜드마크타워 앞,202106,1142
9332,강남구,2328. 르네상스 호텔 사거리 역삼지하보도 7번출구 앞,202106,557
9333,강남구,2329. 르네상스호텔사거리 역삼지하보도 2번출구,202106,360
9334,강남구,2330. 스타벅스 앞,202106,671
9335,강남구,2331. 동영문화센터앞,202106,539
9336,강남구,2332. 선릉역3번출구,202106,1301
9337,강남구,2333. 양재역 3번출구 주변,202106,1058
9338,강남구,2334. 삼호아파트 2동 ( 간선도로),202106,179
9339,강남구,2335. 3호선 매봉역 3번출구앞,202106,1556
9340,강남구,2336. 강남세브란스교차로 래미안그레이튼 104동 앞,202106,327
9341,강남구,2337. 대모산입구역 2번출구 앞,202106,394
9342,강남구,2339. 현대아파트 정문 앞,202106,463
9343,강남구,2340. 삼호물산버스정류장(23370) 옆,202106,2318
9344,강남구,2341. 일원역 4~5번 출구 사이,202106,681
9345,강남구,2342. 대청역 1번출구 뒤,202106,2133
9346,강남구,2343. 세곡사거리 대왕파출소 앞,202106,109
9347,강남구,2344. 리엔파크 2단지 앞,202106,604
9348,강남구,2347. 두산건설 본사,202106,146
9349,강남구,2348. 포스코사거리(기업은행),202106,2139
9350,강남구,2349. 역삼빌딩 앞(하나은행 옆),202106,322
9351,강남구,2350. 래미안그레이튼102동앞,202106,302
9352,강남구,2351. 청소년수련관(수영장)앞,202106,277
9353,강남구,2352. 서울본부세관(건설회관 앞),202106,140
9354,강남구,2353. 강남구청역 2번출구 뒤,202106,488
9355,강남구,2354. 청담역 2번출구,202106,233
9356,강남구,2355. 삼성역 5~6번 출구 사이,202106,1588
9357,강남구,2356. 강남구청,202106,477
9358,강남구,2357. 르네상스호텔사거리 역삼지하보도 3번출구 앞 (더 오번 빌딩 명동칼국수 앞),202106,327
9359,강남구,2358. 구룡초사거리 (현대아파트10동 앞 ),202106,349
9360,강남구,"2359. 국립국악중,고교 정문 맞은편",202106,1009
