"","rdate","rtime","rno","rname","rcode","sex","age","rent","exercise","co2","distance","utime"
"1","2021-06-01",0,2169,"2169. 봉천역 2번출구","정기권","","~10대",1,"8.75","0.08",350.53,3
"3","2021-06-01",0,1282,"1282. 송파소방서 맞은편(성내4교)","정기권","","~10대",1,"26.30","0.18",772.25,6
"4","2021-06-01",0,1288,"1288. 문정중교 사거리","정기권","","~10대",1,"27.50","0.30",1285.82,5
"6","2021-06-01",0,2505,"2505. 우성아파트사거리 (기업은행앞)","정기권","","~10대",1,"12.99","0.14",585.93,4
"8","2021-06-01",0,2644,"2644.성내5교 (GS주유소)","정기권","","~10대",1,"13.89","0.09",407.96,3
"9","2021-06-01",0,2817,"2817.천왕이펜하우스5단지 앞","정기권","","~10대",1,"15.64","0.12",506.42,3
"12","2021-06-01",0,2739,"2739.수명산파크1단지교차로","정기권","","~10대",1,"0.00","0.00",0,3
"13","2021-06-01",0,1756,"1756.서울북부광역등기국","정기권","","~10대",1,"14.96","0.13",539.6,6
"15","2021-06-01",0,3508,"3508. 화양사거리","정기권","","~10대",1,"26.14","0.28",1200,6
"16","2021-06-01",0,158,"158. 독립문 어린이 공원","정기권","","~10대",1,"47.82","0.37",1610,8
"17","2021-06-01",0,2186,"2186.우리은행 낙성대역지점","정기권","","~10대",1,"17.53","0.21",922.25,4
"18","2021-06-01",0,797,"797.목동아파트 1422동 1434동 사잇길","정기권","","~10대",1,"0.00","0.00",0,4
"19","2021-06-01",0,3711,"3711. 월계2교 교차로","정기권","","~10대",1,"66.91","0.56",2413.69,11
"21","2021-06-01",0,3612,"3612. 은곡마을","정기권","","~10대",1,"45.56","0.38",1643.58,7
"22","2021-06-01",0,4518,"4518. 청기와빌딩","정기권","","~10대",1,"13.53","0.17",726.78,5
"23","2021-06-01",0,573,"573. 구의문주차장 앞","정기권","","~10대",1,"49.09","0.49",2100.94,11
"24","2021-06-01",0,1211,"1211. 방이삼거리","정기권","","~10대",1,"28.07","0.25",1090.69,7
"37","2021-06-01",0,1653,"1653. 노원역1번출구","정기권","","20대",1,"40.67","0.37",1580,10
"41","2021-06-01",0,1337,"1337. 돈암성당 옆","정기권","","20대",1,"21.81","0.25",1080,9
"42","2021-06-01",0,1964,"1964. 원메디타운 앞","정기권","","20대",1,"22.81","0.23",1010.68,7
"43","2021-06-01",0,1160,"1160. 양천향교역 7번출구앞","정기권","","20대",1,"54.63","0.36",1550,10
"44","2021-06-01",0,1162,"1162. 공항초등학교건너편","정기권","","20대",1,"12.41","0.17",728.56,8
