"","name","address","city"
"1","용산철도고등학교","서울특별시 용산구 서빙고로 24","용산구"
"2","서울동산고등학교","서울특별시 노원구 공릉로 257","노원구"
"3","인덕과학기술고등학교","서울특별시 노원구 초안산로 12","노원구"
"4","서울신정고등학교","서울특별시 강서구 등촌로13아길 20","강서구"
"5","서일문화예술고등학교","서울특별시 종로구 지봉로17길 49","종로구"
"6","동명생활경영고등학교","서울특별시 은평구 통일로 793","은평구"
"7","단국대학교부속소프트웨어고등학교","서울특별시 강남구 도곡로64길 21","강남구"
"8","광신방송예술고등학교","서울특별시 관악구 광신길 141","관악구"
"9","고명외식고등학교","서울특별시 성북구 북악산로 870","성북구"
"10","서울의료보건고등학교","서울특별시 중구 만리재로37길 30","중구"
"11","영락의료과학고등학교","서울특별시 관악구 청룡16길 25","관악구"
"12","풍문고등학교","서울특별시 강남구 자곡로 152","강남구"
"13","금호고등학교","서울특별시 성동구 금호로 118","성동구"
"14","도선고등학교","서울특별시 성동구 마장로 156","성동구"
"15","신진과학기술고등학교","서울특별시 은평구 은평로6길 16","은평구"
"16","선정국제관광고등학교","서울특별시 은평구 서오릉로20길 19","은평구"
"17","계성고등학교","서울특별시 성북구 길음로 63","성북구"
"18","서울항공비즈니스고등학교","서울특별시 강서구 방화대로34길 13","강서구"
"19","대경상업고등학교","서울특별시 중구 매봉18길 111","중구"
"20","서울컨벤션고등학교","서울특별시 강동구 동남로 964","강동구"
"21","대일관광고등학교","서울특별시 양천구 신정이펜1로 11","양천구"
"22","동일여자상업고등학교","서울특별시 금천구 탑골로10길 45","금천구"
"23","예림디자인고등학교","서울특별시 구로구 오리로21길 2","구로구"
"24","서울도시과학기술고등학교","서울특별시 성북구 종암로 196","성북구"
"25","성덕고등학교","서울특별시 강동구 구천면로 396","강동구"
"26","가재울고등학교","서울특별시 서대문구 수색로 100-35","서대문구"
"27","휘봉고등학교","서울특별시 동대문구 한천로 290","동대문구"
"28","잠일고등학교","서울특별시 송파구 백제고분로 21","송파구"
"29","구암고등학교","서울특별시 관악구 성현로 57","관악구"
"30","서울대학교사범대학부설고등학교","서울특별시 성북구 월곡로 6","성북구"
"31","화곡보건경영고등학교","서울특별시 강서구 강서로45길 70","강서구"
"32","영신간호비즈니스고등학교","서울특별시 노원구 중계로16나길 13","노원구"
"33","홍익디자인고등학교","서울특별시 마포구 성미산로 111","마포구"
"34","동구마케팅고등학교","서울특별시 성북구 성북로8길 71","성북구"
"35","송곡관광고등학교","서울특별시 중랑구 양원역로 67","중랑구"
"36","세그루패션디자인고등학교","서울특별시 도봉구 시루봉로 53","도봉구"
"37","삼각산고등학교","서울특별시 강북구 삼양로19길 40","강북구"
"38","선사고등학교","서울특별시 강동구 고덕로25길 17","강동구"
"39","신도고등학교","서울특별시 은평구 통일로 961","은평구"
"40","동양고등학교","서울특별시 강서구 허준로 50","강서구"
"41","서울금융고등학교","서울특별시 양천구 가로공원로61길 19","양천구"
"42","은평메디텍고등학교","서울특별시 은평구 진관2로 57-57","은평구"
"43","서울아이티고등학교","서울특별시 노원구 섬밭로 299","노원구"
"44","문현고등학교","서울특별시 송파구 충민로 115","송파구"
"45","강일고등학교","서울특별시 강동구 아리수로98길 40","강동구"
"46","하나고등학교","서울특별시 은평구 연서로 535","은평구"
"47","압구정고등학교","서울특별시 강남구 압구정로39길 20","강남구"
"48","상일미디어고등학교","서울특별시 강동구 천호대로219길 61","강동구"
"49","한세사이버보안고등학교","서울특별시 마포구 마포대로11길 44-80","마포구"
"50","염광여자메디텍고등학교","서울특별시 노원구 월계로45가길 9","노원구"
"51","선일이비즈니스고등학교","서울특별시 은평구 갈현로29길 27","은평구"
"52","리라아트고등학교","서울특별시 중구 소파로2길","중구"
"53","서울공연예술고등학교","서울특별시 구로구 오리로22나길 16-26","구로구"
"54","성동글로벌경영고등학교","서울특별시 중구 퇴계로 375","중구"
"55","서울문화고등학교","서울특별시 도봉구 마들로 598","도봉구"
"56","미양고등학교","서울특별시 강북구 인수봉로 39","강북구"
"57","성수고등학교","서울특별시 성동구 서울숲길 18","성동구"
"58","수명고등학교","서울특별시 강서구 수명로2길 15","강서구"
"59","신도림고등학교","서울특별시 구로구 경인로67길 159","구로구"
"60","진관고등학교","서울특별시 은평구 진관4로 26","은평구"
"61","은평고등학교","서울특별시 은평구 갈현로15길 51","은평구"
"62","성암국제무역고등학교","서울특별시 강북구 도봉로29길 52","강북구"
"63","서울방송고등학교","서울특별시 성동구 동호로5길 131","성동구"
"64","경복비즈니스고등학교","서울특별시 강서구 화곡로 379","강서구"
"65","대동세무고등학교","서울특별시 종로구 계동길 84-10","종로구"
"66","한강미디어고등학교","서울특별시 영등포구 선유로55길 22","영등포구"
"67","구현고등학교","서울특별시 구로구 경인로53가길 17","구로구"
"68","해성여자고등학교","서울특별시 동대문구 전농로20길 31","동대문구"
"69","서울국제고등학교","서울특별시 종로구 성균관로13길 40","종로구"
"70","세종과학고등학교","서울특별시 구로구 오리로21길 79","구로구"
"71","보인고등학교","서울특별시 송파구 오금로49길 18","송파구"
"72","해성국제컨벤션고등학교","서울특별시 동대문구 전농로20길 31","동대문구"
"73","예일디자인고등학교","서울특별시 은평구 연서로 117","은평구"
"74","서울전자고등학교","서울특별시 서초구 과천대로 852-23","서초구"
"75","덕수고등학교","서울특별시 성동구 왕십리로 199","성동구"
"76","상암고등학교","서울특별시 마포구 월드컵북로 445","마포구"
"77","원묵고등학교","서울특별시 중랑구 숙선옹주로 82","중랑구"
"78","고려대학교사범대학부속고등학교","서울특별시 성북구 정릉로 161","성북구"
"79","서울영상고등학교","서울특별시 양천구 목동로11길 46","양천구"
"80","한양대학교사범대학부속고등학교","서울특별시 성동구 마조로 42","성동구"
"81","효문고등학교","서울특별시 도봉구 우이천로 432","도봉구"
"82","신서고등학교","서울특별시 양천구 은행정로 42","양천구"
"83","세현고등학교","서울특별시 강서구 허준로 227","강서구"
"84","이화여자대학교병설미디어고등학교","서울특별시 중랑구 망우로73길 56","중랑구"
"85","동국대학교사범대학부속여자고등학교","서울특별시 광진구 광나루로36길 47","광진구"
"86","목동고등학교","서울특별시 양천구 목동동로2길 68","양천구"
"87","서울디자인고등학교","서울특별시 마포구 백범로 139","마포구"
"88","대진디자인고등학교","서울특별시 강남구 광평로39길 93","강남구"
"89","서울관광고등학교","서울특별시 관악구 은천로15길 25","관악구"
"90","서울로봇고등학교","서울특별시 강남구 광평로20길 63","강남구"
"91","성동공업고등학교","서울특별시 중구 다산로 290","중구"
"92","불암고등학교","서울특별시 노원구 중계로 155","노원구"
"93","월계고등학교","서울특별시 노원구 초안산로5길 66","노원구"
"94","선유고등학교","서울특별시 영등포구 선유로 227","영등포구"
"95","서서울생활과학고등학교","서울특별시 구로구 오리로 1355-10","구로구"
"96","영동일고등학교","서울특별시 송파구 석촌호수로 93","송파구"
"97","자운고등학교","서울특별시 도봉구 노해로69길 150","도봉구"
"98","신현고등학교","서울특별시 중랑구 봉화산로 174","중랑구"
"99","문정고등학교","서울특별시 송파구 송이로34길 62","송파구"
"100","등촌고등학교","서울특별시 강서구 공항대로39길 115","강서구"
"101","도봉고등학교","서울특별시 도봉구 도봉산길 27","도봉구"
"102","경일고등학교","서울특별시 성동구 성수일로 27","성동구"
"103","서울문영여자고등학교","서울특별시 관악구 관악로 85","관악구"
"104","염광고등학교","서울특별시 노원구 월계로45가길 9","노원구"
"105","상명고등학교","서울특별시 노원구 덕릉로 553","노원구"
"106","미래산업과학고등학교","서울특별시 노원구 덕릉로82길 54","노원구"
"107","방산고등학교","서울특별시 송파구 오금로27길 18","송파구"
"108","누원고등학교","서울특별시 도봉구 마들로 849","도봉구"
"109","서울디지텍고등학교","서울특별시 용산구 회나무로12길 27","용산구"
"110","미림여자정보과학고등학교","서울특별시 관악구 호암로 546","관악구"
"111","노원고등학교","서울특별시 노원구 노원로 586","노원구"
"112","경인고등학교","서울특별시 구로구 경인로46길 31","구로구"
"113","창동고등학교","서울특별시 도봉구 노해로62길 7","도봉구"
"114","독산고등학교","서울특별시 금천구 문성로 64","금천구"
"115","수락고등학교","서울특별시 노원구 동일로245길 143","노원구"
"116","청원여자고등학교","서울특별시 노원구 한글비석로 506","노원구"
"117","이화여자대학교사범대학부속이화금란고등학교","서울특별시 서대문구 성산로 560","서대문구"
"118","오류고등학교","서울특별시 구로구 오리로21길 2","구로구"
"119","세명컴퓨터고등학교","서울특별시 은평구 통일로92가길 33","은평구"
"120","선린인터넷고등학교","서울특별시 용산구 원효로97길 33-4","용산구"
"121","한양공업고등학교","서울특별시 중구 을지로 299","중구"
"122","정화여자상업고등학교","서울특별시 동대문구 홍릉로15길 50","동대문구"
"123","일신여자상업고등학교","서울특별시 송파구 송파대로38길 8","송파구"
"124","유한공업고등학교","서울특별시 구로구 경인로 8","구로구"
"125","영등포공업고등학교","서울특별시 강서구 허준로5길 15","강서구"
"126","수도전기공업고등학교","서울특별시 강남구 개포로 410","강남구"
"127","서울여자상업고등학교","서울특별시 관악구 관악로 85","관악구"
"128","덕일전자공업고등학교","서울특별시 구로구 서해안로21길 5-12","구로구"
"129","광운전자공업고등학교","서울특별시 노원구 광운로1길 24","노원구"
"130","휘경공업고등학교","서울특별시 동대문구 겸재로 21","동대문구"
"131","송파공업고등학교","서울특별시 송파구 양산로 21","송파구"
"132","성수공업고등학교","서울특별시 성동구 뚝섬로 365","성동구"
"133","서울공업고등학교","서울특별시 동작구 대방동1길 46","동작구"
"134","경기상업고등학교","서울특별시 종로구 자하문로 136","종로구"
"135","경기기계공업고등학교","서울특별시 노원구 공릉로 264","노원구"
"136","강서공업고등학교","서울특별시 강서구 방화대로47길 9","강서구"
"137","휘문고등학교","서울특별시 강남구 역삼로 541","강남구"
"138","휘경여자고등학교","서울특별시 동대문구 한천로 247","동대문구"
"139","환일고등학교","서울특별시 중구 환일길 47","중구"
"140","화곡고등학교","서울특별시 강서구 강서로45길 69","강서구"
"141","홍익대학교사범대학부속여자고등학교","서울특별시 마포구 성미산로 51","마포구"
"142","홍익대학교사범대학부속고등학교","서울특별시 성북구 성북로14가길 23","성북구"
"143","혜원여자고등학교","서울특별시 중랑구 봉우재로58길 39","중랑구"
"144","혜성여자고등학교","서울특별시 노원구 노원로16길 2","노원구"
"145","현대고등학교","서울특별시 강남구 압구정로 127","강남구"
"146","한영외국어고등학교","서울특별시 강동구 동남로 832","강동구"
"147","한영고등학교","서울특별시 강동구 동남로 832","강동구"
"148","한성여자고등학교","서울특별시 성북구 삼선교로16길 117","성북구"
"149","한성고등학교","서울특별시 서대문구 북아현로1길 24","서대문구"
"150","한서고등학교","서울특별시 강서구 양천로11길 47","강서구"
"151","한국삼육고등학교","서울특별시 노원구 화랑로 815","노원구"
"152","한광고등학교","서울특별시 강서구 등촌로13길 110","강서구"
"153","한가람고등학교","서울특별시 양천구 목동서로 15","양천구"
"154","충암고등학교","서울특별시 은평구 가좌로5길 5","은평구"
"155","청원고등학교","서울특별시 노원구 한글비석로 506","노원구"
"156","창문여자고등학교","서울특별시 강북구 월계로 61","강북구"
"157","진선여자고등학교","서울특별시 강남구 선릉로85길 27","강남구"
"158","진명여자고등학교","서울특별시 양천구 목동로 170","양천구"
"159","중앙여자고등학교","서울특별시 서대문구 북아현로11가길 7","서대문구"
"160","중앙대학교사범대학부속고등학교","서울특별시 강남구 선릉로 207","강남구"
"161","중앙고등학교","서울특별시 종로구 창덕궁길 164","종로구"
"162","중산고등학교","서울특별시 강남구 일원로14길 22","강남구"
"163","중동고등학교","서울특별시 강남구 일원로 7","강남구"
"164","정의여자고등학교","서울특별시 도봉구 노해로49길 69","도봉구"
"165","정신여자고등학교","서울특별시 송파구 올림픽로4길 16","송파구"
"166","재현고등학교","서울특별시 노원구 덕릉로82길 64","노원구"
"167","장훈고등학교","서울특별시 영등포구 영등포로64길 26","영등포구"
"168","장충고등학교","서울특별시 중구 동호로15길 93","중구"
"169","잠실여자고등학교","서울특별시 송파구 송파대로38길 8","송파구"
"170","인창고등학교","서울특별시 서대문구 경기대로 65","서대문구"
"171","이화여자외국어고등학교","서울특별시 중구 통일로4길 30","중구"
"172","이화여자고등학교","서울특별시 중구 정동길","중구"
"173","은광여자고등학교","서울특별시 강남구 남부순환로359길 36","강남구"
"174","우신고등학교","서울특별시 구로구 부일로 917","구로구"
"175","용화여자고등학교","서울특별시 노원구 동일로 1461","노원구"
"176","용문고등학교","서울특별시 성북구 고려대로17가길 46","성북구"
"177","오산고등학교","서울특별시 용산구 보광로7길 17","용산구"
"178","예일여자고등학교","서울특별시 은평구 연서로 117","은평구"
"179","영훈고등학교","서울특별시 강북구 도봉로13가길 19","강북구"
"180","영파여자고등학교","서울특별시 송파구 올림픽로 565","송파구"
"181","영일고등학교","서울특별시 강서구 등촌로51가길 26","강서구"
"182","영신여자고등학교","서울특별시 노원구 중계로16나길 13","노원구"
"183","영락고등학교","서울특별시 관악구 청룡16길 25","관악구"
"184","영동고등학교","서울특별시 강남구 선릉로 742","강남구"
"185","양천고등학교","서울특별시 양천구 신정로14길 13","양천구"
"186","양정고등학교","서울특별시 양천구 안양천로 1039","양천구"
