"","name","address","city"
"1","서울시립대학교","서울 동대문구 서울시립대로 163 (전농동 90번지) ","동대문구"
"2","서울여자간호대학교","서울 서대문구 홍제3동 서울여자간호대학","서대문구"
"3","서울여자대학교","서울특별시 노원구 화랑로 621 서울여자대학교","노원구"
"4","서일대학교","서울 중랑구 서일대학길 22(면목동 49-3) 서일대학교","중랑구"
"5","성공회대학교","서울 구로구 항동 성공회대학교","구로구"
"6","성균관대학교","서울 종로구 명륜동3가 성균관대학교","종로구"
"7","성신여자대학교","서울 성북구 동선동3가 성신여자대학교","성북구"
"8","세종대학교","서울 광진구 군자동 세종대학교","광진구"
"9","숙명여자대학교","서울 용산구 청파로47길 100 숙명여자대학교","용산구"
"10","숭실대학교","서울 동작구 상도동 511 숭실대학교","동작구"
"11","숭의여자대학교","서울특별시 중구 소파로2길 10(예장동)","중구"
"12","연세대학교","서울 서대문구 신촌동 연세대학교","서대문구"
"13","이화여자대학교","서울 서대문구 대현동 11-1 이화여자대학교","서대문구"
"14","인덕대학교","서울 노원구 초안산로 12","노원구"
"15","장로회신학대학교","서울 광진구 광장로 5길 25-1(광장동) 장로회신학대학교","광진구"
"16","적십자간호대학","서울 종로구 경교장길8","종로구"
"17","중앙대학교 서울캠퍼스","서울 동작구 흑석로 84","동작구"
"18","총신대학교","서울 동작구 사당동 산31-3","동작구"
"19","추계예술대학교","서울 서대문구 북아현동 190-1 추계예술대학교","서대문구"
"20","한국방송통신대학교","서울 종로구 동숭동 한국방송통신대학교","종로구"
"21","한국성서대학교","서울 노원구 상계7동 한국성서대학교","노원구"
"22","한국예술종합학교","서울 성북구 석관동 ","성북구"
"23","한국외국어대학교","서울 동대문구 이문로 107","동대문구"
"24","한국체육대학교","서울 송파구 오륜동 한국체육대학교","송파구"
"25","한국폴리텍 I 대학 서울강서캠퍼스","서울 강서구 화곡동 산60-1","강서구"
"26","한국폴리텍Ⅰ대학 서울정수캠퍼스","서울 용산구 보광로 73(보광동 238)","용산구"
"27","한성대학교","서울 성북구 삼선동3가 389 한성대학교","성북구"
"28","한양대학교","서울특별시 성동구 왕십리로 222 ","성동구"
"29","한양여자대학교","서울 성동구 행당동 살곶이길 200","성동구"
"30","한영신학대학교","서울 구로구 경인로 290-42  한영신학대학교","구로구"
"31","홍익대학교","서울특별시 마포구 와우산로 94(상수동)","마포구"
"32","가톨릭대학교","서울 서초구 반포동 505","서초구"
"33","가톨릭대학교","서울 종로구 창경궁로 296-12(혜화동) ","종로구"
"34","감리교신학대학교","서울 서대문구 냉천동 감리교신학대학","서대문구"
"35","건국대학교","서울 광진구 화양동","광진구"
"36","경기대학교","서울 서대문구 경기대로9길 24 경기대학교","서대문구"
"37","경희대학교","서울 동대문구 회기동 경희대학교","동대문구"
"38","고려대학교","서울 성북구 안암동 고려대학교","성북구"
"39","광운대학교","서울특별시 노원구 월계동 447-1","노원구"
"40","국민대학교","서울 성북구 정릉3동 국민대학교","성북구"
"41","국제예술대학","서울 강남구 논현동 79","강남구"
"42","그리스도대학교","서울 강서구 화곡6동 그리스도대학교","강서구"
"43","덕성여자대학교","서울특별시 도봉구 삼양로 144길 33","도봉구"
"44","동국대학교","서울 중구 필동3가 동국대학교","중구"
"45","동덕여자대학교","서울 성북구 하월곡2동 동덕여자대학교","성북구"
"46","동양미래대학교","서울시 구로구 경인로 445 동양미래대학교 (고척동 62-160)","구로구"
"47","디지털서울문화예술대학교","서울시 서대문구 통일로 37길 60 (홍제동 318-18)","서대문구"
"48","명지대학교 인문캠퍼스","서울 서대문구 남가좌동 50-3","서대문구"
"49","명지전문대학","서울 서대문구 가좌로 134 명지전문대학 ","서대문구"
"50","배화여자대학교","서울 종로구 필운대로 1길 34 배화여자대학교","종로구"
"51","백석예술대학교","서울 서초구 방배로9길 23 백석예술대학교","서초구"
"52","사이버한국외국어대학교","서울 동대문구 이문동 한국외국어대학교","동대문구"
"53","삼육대학교","서울시 노원구 화랑로 815(공릉2동 26-21)","노원구"
"54","삼육보건대학교","서울 동대문구 휘경2동","동대문구"
"55","상명대학교","서울 종로구 홍지동 상명대학교","종로구"
"56","서강대학교","서울 마포구 신수동 서강대학교","마포구"
"57","서경대학교","서울 성북구 정릉4동 서경대학교","성북구"
"58","서울과학기술대학교","서울 노원구 공릉로 232 (공릉동 172)","노원구"
"59","서울과학기술대학교","서울시 노원구 공릉로 232 서울과학기술대학교","노원구"
"60","서울교육대학교","서울 서초구 서초중앙로 96(서초동 1650)","서초구"
"61","서울기독대학교","서울 은평구 갈현로 4길 26-2호","은평구"
"62","서울대학교","서울 관악구 관악로 1 서울대학교","관악구"
"63","서울디지털대학교","서울 마포구 도화동 560번지","마포구"
"64","서울사이버대학교","서울 강북구 솔매로49길 60(미아동 193-15) 서울사이버대학교","강북구"
