"","name","address","city"
"1","선화예술중학교","서울특별시 광진구 천호대로 664","광진구"
"2","서울숭신초등학교","서울특별시 성동구 마장로 161","성동구"
"3","행당중학교","서울특별시 성동구 왕십리로 189","성동구"
"4","한양대학교사범대학부속중학교","서울특별시 성동구 마조로 42","성동구"
"5","자양중학교","서울특별시 광진구 뚝섬로41길 33","광진구"
"6","용곡중학교","서울특별시 광진구 용마산로22길 76","광진구"
"7","옥정중학교","서울특별시 성동구 한림말길 11","성동구"
"8","양진중학교","서울특별시 광진구 워커힐로 32","광진구"
"9","신양중학교","서울특별시 광진구 자양강변길 73","광진구"
"10","성원중학교","서울특별시 성동구 성덕정9가길 13","성동구"
"11","성수중학교","서울특별시 성동구 서울숲길 18","성동구"
"12","무학중학교","서울특별시 성동구 행당로 120","성동구"
"13","마장중학교","서울특별시 성동구 마장로35나길 31","성동구"
"14","대원국제중학교","서울특별시 광진구 용마산로22길 26","광진구"
"15","동마중학교","서울특별시 성동구 마조로11길 18","성동구"
"16","동국대학교사범대학부속여자중학교","서울특별시 광진구 광나루로36길 47","광진구"
"17","구의중학교","서울특별시 광진구 광나루로30길 80","광진구"
"18","광희중학교","서울특별시 성동구 독서당로62길 46","성동구"
"19","광진중학교","서울특별시 광진구 뚝섬로64길 45","광진구"
"20","광장중학교","서울특별시 광진구 광장로1길 1","광진구"
"21","광양중학교","서울특별시 광진구 자양로3길 7","광진구"
"22","광남중학교","서울특별시 광진구 아차산로70길 17-62","광진구"
"23","경일중학교","서울특별시 성동구 성수일로 27","성동구"
"24","경수중학교","서울특별시 성동구 뚝섬로13길 14","성동구"
"25","건국대학교사범대학부속중학교","서울특별시 광진구 자양로 145-1","광진구"
"26","한양초등학교","서울특별시 성동구 살곶이길 208","성동구"
"27","세종초등학교","서울특별시 광진구 군자로 114","광진구"
"28","성동초등학교","서울특별시 광진구 자양로4길 63","광진구"
"29","서울화양초등학교","서울특별시 광진구 군자로 9","광진구"
"30","서울행현초등학교","서울특별시 성동구 행당로 95","성동구"
"31","서울행당초등학교","서울특별시 성동구 고산자로8길 6","성동구"
"32","서울중마초등학교","서울특별시 광진구 동일로72길 43","광진구"
"33","서울중광초등학교","서울특별시 광진구 긴고랑로13길 59","광진구"
"34","서울장안초등학교","서울특별시 광진구 군자로 74","광진구"
"35","서울자양초등학교","서울특별시 광진구 아차산로44길 26","광진구"
"36","서울응봉초등학교","서울특별시 성동구 독서당로62길 28","성동구"
"37","서울용마초등학교","서울특별시 광진구 천호대로113길 10","광진구"
"38","서울용답초등학교","서울특별시 성동구 용답25길 1","성동구"
"39","서울용곡초등학교","서울특별시 광진구 용마산로22길 82","광진구"
"40","서울옥정초등학교","서울특별시 성동구 한림말길 43","성동구"
"41","서울옥수초등학교","서울특별시 성동구 금호로1길 25","성동구"
"42","서울양진초등학교","서울특별시 광진구 워커힐로 32","광진구"
"43","서울양남초등학교","서울특별시 광진구 뚝섬로64길 71","광진구"
"44","서울신자초등학교","서울특별시 광진구 뚝섬로46길 64","광진구"
"45","서울신양초등학교","서울특별시 광진구 능동로 42","광진구"
"46","서울송원초등학교","서울특별시 성동구 동일로43길 9","성동구"
"47","서울성자초등학교","서울특별시 광진구 뚝섬로56길 7","광진구"
"48","서울성수초등학교","서울특별시 성동구 아차산로17길 21","성동구"
"49","서울사근초등학교","서울특별시 성동구 사근동11길 16","성동구"
"50","서울무학초등학교","서울특별시 성동구 무학봉15길 21","성동구"
"51","서울마장초등학교","서울특별시 성동구 마장로35나길 31","성동구"
